listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
20040341,01/06/2025,30,0,0,0,53.6,,,,3,,6925,0
25351694,01/04/2025,20,10,0.333,750,74.5,75,32,6,1,9713,9648,97126
20040341,01/07/2025,24,7,0.226,369,53.5,52.7,92,1,3,6809,6912,47676
20040341,01/08/2025,16,15,0.484,753,50.3,50.2,1,8,2,6486,6499,97290
23919074,01/11/2024,30,0,0,0,66.8,,,,,,8617,0
23919074,01/08/2025,30,1,0.032,69,65.3,69,73,1,1,8915,8437,8915
23919074,01/04/2025,23,7,0.233,442,64.2,63.1,4,2,1,8172,8314,57239
23919074,01/06/2025,28,2,0.067,146,65.8,73,1,2,1,9432,8502,18864
23919074,01/09/2024,27,3,0.1,182,60.8,60.7,1,3,,7841,7854,23511
23919074,01/01/2025,31,0,0,0,65.5,,,,1,,8461,0
23919074,01/07/2025,26,5,0.161,282,61.2,56.4,24,2,1,7287,7907,36435
23919074,01/12/2024,21,10,0.323,659,66.7,65.9,39,3,,8534,8638,85345
23919074,01/10/2024,31,0,0,0,65.5,,,,,,8450,0
23919074,01/03/2025,31,0,0,0,66.4,,,,1,,8533,0
23919074,01/05/2025,30,1,0.032,65,57.8,65,1,1,1,8440,7505,8440
23919074,01/02/2025,25,3,0.107,199,66.3,66.3,3,1,1,8564,8564,25704
13669376,01/01/2025,26,5,0.161,124,24.5,24.8,189,4,,3203,3165,16017
13669376,01/05/2025,23,8,0.258,197,24.5,24.6,322,1,,3194,3181,25578
2868580,01/04/2025,14,16,0.533,513,31.6,32.1,1,4,3,4157,4092,66434
13669376,01/04/2025,23,7,0.233,171,24.3,24.4,288,1,,3160,3147,22145
18641555,01/02/2025,19,9,0.321,457,50,50.8,5,4,2,6562,6458,59030
13669376,01/11/2024,30,0,0,0,24.6,,,,,,3173,0
13669376,01/12/2024,29,2,0.065,48,24.5,24,,,,3108,3173,6216
34107982,01/08/2025,28,3,0.097,82,27,27.3,1,3,2,3527,3488,10595
18641555,01/08/2025,31,0,0,0,49.4,,,,2,,6383,0
41575313,01/05/2025,31,0,0,0,194.8,,,,,,25293,0
41575313,01/12/2024,31,0,0,0,243.5,,,,,,31535,0
13669376,01/03/2025,21,10,0.323,242,24.2,24.2,272,1,,3110,3110,31098
34107982,01/12/2024,28,3,0.097,72,23.7,24,1,3,,3108,3069,9324
18641555,01/03/2025,28,3,0.097,152,51.5,50.7,13,3,2,6515,6618,19533
2868580,01/08/2025,8,23,0.742,800,34.3,34.8,40,65,5,4496,4432,103363
18641555,01/06/2025,30,0,0,0,48.5,,,,2,,6266,0
41575313,01/10/2024,31,0,0,0,236.1,,,,,,30457,0
2868580,01/03/2025,0,31,1,988,31.9,31.9,35,20,3,4099,4099,126962
2868580,01/12/2024,16,15,0.484,497,33.2,33.1,,,,4287,4300,64365
18641555,01/01/2025,31,0,0,0,49.3,,,,2,,6368,0
2868580,01/06/2025,29,1,0.033,34,35.9,34,9,6,3,4393,4638,4393
13669376,01/08/2025,31,0,0,0,24.7,,,,1,,3191,0
41575313,01/02/2025,28,0,0,0,253.7,,,,,,32770,0
2868580,01/02/2025,0,28,1,906,32.4,32.4,30,35,3,4185,4185,117026
